Longitud,Latitud,Valor
-72.45000,-36.63330,1.70000
-72.95030,-36.63940,1.60000
-71.66080,-36.80000,4.10000
-73.03330,-36.81670,0.00000
-73.01640,-36.82030,2.20000
-73.10000,-36.83330,1.50000
-73.06190,-36.83860,1.50000
-71.57560,-36.92440,4.40000
-72.94140,-36.98250,2.00000
-72.32420,-37.21190,0.20000
-72.32720,-37.45610,0.00000
-73.33690,-37.48330,3.20000
-73.34420,-37.48780,1.80000
-72.40830,-37.50220,1.80000
-72.31190,-37.54220,1.30000
-72.59030,-37.55030,0.70000
-71.76830,-37.70470,3.50000
-71.82360,-37.70920,3.70000
-71.90170,-37.71060,2.90000
-72.63720,-37.77940,2.00000
-73.39140,-37.79830,2.30000
-73.39220,-37.81310,2.30000
-73.25000,-37.81670,2.50000
-71.58060,-37.89860,0.00000
-71.59610,-37.91830,5.20000
-72.43610,-37.96470,2.20000
-73.01670,-38.03330,1.60000
-71.43440,-38.05830,4.20000
-71.29890,-38.20080,5.60000
-72.01060,-38.43030,3.00000
-71.37420,-38.45360,3.20000
-71.57530,-38.47030,4.90000
-72.84780,-38.60810,1.30000
-72.50280,-38.68670,1.60000
-72.55580,-38.71280,2.20000
-72.94690,-38.78000,1.70000
-71.65360,-38.84440,3.40000
-72.23330,-38.98330,3.90000
-73.08280,-39.01440,2.40000
-72.38330,-39.10000,3.10000
-72.23330,-39.26670,4.40000
-71.95030,-39.27530,4.20000
-72.69080,-39.47810,2.50000
-72.90250,-39.80440,3.60000
-73.25170,-39.81030,3.90000
-73.17860,-39.85610,3.60000
-71.88970,-39.87470,5.40000
-73.08330,-40.26670,1.80000
-73.00220,-40.38420,3.90000
-73.10690,-40.58830,2.00000
-73.22780,-40.71360,2.40000
-72.68890,-40.78890,2.90000
-73.21440,-40.79560,1.00000
-72.63280,-41.07810,4.50000
-71.93860,-41.42420,4.70000
-72.57640,-41.42970,9.00000
-72.93780,-41.46000,3.60000
-72.31170,-41.65110,5.50000
-73.79640,-41.87920,5.10000
-72.43500,-41.93830,8.50000
-73.47310,-42.14080,3.50000
-73.77420,-42.47940,3.10000
-73.61190,-43.10860,2.50000
-72.36580,-43.41280,7.20000
-72.95470,-43.77170,6.90000
-72.40560,-43.97080,5.60000
-72.55970,-44.32280,6.60000
-72.68140,-44.72780,2.90000
-73.51640,-45.15530,5.50000
-72.62310,-45.40580,3.20000
-72.81780,-45.46440,4.90000
-71.60440,-45.48030,0.80000
-72.05890,-45.55110,2.50000
-72.06810,-45.55170,1.90000
-72.02860,-45.57390,1.50000
-71.99080,-46.26920,1.00000
-72.70000,-46.43330,1.40000
-72.22670,-46.54250,1.00000
-71.70890,-46.54360,0.50000
-73.85750,-46.64330,4.00000
-72.69750,-46.84110,1.00000
-72.80330,-46.84560,2.50000
-73.08690,-47.13780,2.50000
-72.72580,-47.14140,1.40000
-73.25000,-47.19810,2.60000
-72.56440,-47.25170,4.30000
-73.11470,-47.33920,1.90000
-73.53580,-47.79970,4.80000
-73.08890,-48.15920,4.40000
-73.45970,-48.25360,4.80000
-72.59530,-48.51690,5.10000
-74.18310,-48.83470,6.40000
-72.73940,-48.87750,1.70000
-73.11720,-48.92720,2.30000
-73.11250,-50.82280,1.70000
-72.90470,-50.84140,1.20000
-72.33140,-50.89860,0.50000
-72.79250,-50.96030,0.80000
-72.71060,-51.01080,0.80000
-72.51690,-51.05080,0.40000
